,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,,Per 90 Minutes,,,,,,,,,,
Club,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Angel City FC,Evelyn Shores,us USA,"DF,MF",20-297,12,12,983,10.9,1,0,1,1,0,0,1,0,0.9,0.9,0.1,1,11,38,25,0.09,0,0.09,0.09,0.09,0.08,0.01,0.09,0.08,0.09,Matches
Angel City FC,Sveindís Jane Jónsdóttir,is ISL,FW,24-139,12,11,968,10.8,1,1,2,1,0,0,1,0,2.1,2.1,2,4,20,20,70,0.09,0.09,0.19,0.09,0.19,0.19,0.18,0.37,0.19,0.37,Matches
Angel City FC,Madison Hammond,us USA,MF,27-341,21,9,927,10.3,0,0,0,0,0,0,1,0,0.9,0.9,0.3,1.2,5,49,15,0,0,0,0,0,0.09,0.03,0.12,0.09,0.12,Matches
Angel City FC,Macey Hodge,us USA,MF,24-171,16,9,755,8.4,1,0,1,1,0,0,6,0,0.8,0.8,0.1,0.9,4,26,3,0.12,0,0.12,0.12,0.12,0.09,0.01,0.1,0.09,0.1,Matches
Angel City FC,Megan Reid,us USA,DF,29-196,17,8,806,9,0,0,0,0,0,0,1,0,0.5,0.5,0.2,0.7,1,18,1,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07,Matches
Angel City FC,Savannah King,us USA,DF,20-257,8,8,708,7.9,0,0,0,0,0,0,2,0,0.1,0.1,0,0.1,1,11,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
Angel City FC,Claire Emslie,sct SCO,"FW,MF",31-228,8,7,519,5.8,0,1,1,0,0,0,0,0,1.2,1.2,1.3,2.5,14,21,41,0,0.17,0.17,0,0.17,0.2,0.23,0.43,0.2,0.43,Matches
Angel City FC,Katie Zelem,eng ENG,MF,29-275,15,6,585,6.5,2,0,2,2,0,0,2,0,1.2,1.2,0.6,1.8,2,41,14,0.31,0,0.31,0.31,0.31,0.18,0.1,0.28,0.18,0.28,Matches
Angel City FC,Sara Doorsoun,de GER,DF,33-339,7,6,542,6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,7,28,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
Angel City FC,Jun Endō,jp JPN,"MF,FW",25-151,9,6,427,4.7,0,1,1,0,0,0,0,0,0.3,0.3,1.2,1.5,6,21,32,0,0.21,0.21,0,0.21,0.07,0.25,0.32,0.07,0.32,Matches
Angel City FC,Nealy Martin,us USA,MF,27-183,6,5,495,5.5,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,2,24,7,0,0,0,0,0,0.02,0.07,0.08,0.02,0.08,Matches
Angel City FC,Julie Dufour,fr FRA,"FW,MF",24-146,10,4,370,4.1,0,0,0,0,0,0,1,0,0,0,0.7,0.8,9,10,18,0,0,0,0,0,0.01,0.18,0.19,0.01,0.19,Matches
Angel City FC,Hannah Seabert,dk DEN,GK,30-236,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Angel City FC,Maiara,br BRA,MF,21-072,13,3,424,4.7,2,0,2,2,0,0,2,0,2.1,2.1,0.8,2.9,11,11,19,0.42,0,0.42,0.42,0.42,0.45,0.16,0.61,0.45,0.61,Matches
Angel City FC,Hina Sugita,jp JPN,MF,28-264,3,3,270,3,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,2,20,14,0,0,0,0,0,0.06,0.1,0.16,0.06,0.16,Matches
Angel City FC,Christen Press,us USA,"FW,MF",36-297,21,2,430,4.8,1,0,1,1,0,0,0,0,0.9,0.9,0.3,1.2,8,9,34,0.21,0,0.21,0.21,0.21,0.19,0.06,0.25,0.19,0.25,Matches
Angel City FC,Casey Phair,kr KOR,"FW,MF",18-115,5,0,90,1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,3,1,2,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
Angel City FC,Hannah Johnson,us USA,DF,22-244,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Angel City FC,Sophia Mattice,us USA,"DF,MF",23-119,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,Matches
Angel City FC,Prisca Chilufya,zm ZAM,"MF,FW",26-136,2,0,19,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,2,0,0,0,0,0,0.25,0,0.25,0.25,0.25,Matches
Angel City FC,Ali Riley,nz NZL,DF,37-357,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Angel City FC,Lily Nabet,us USA,MF,26-028,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Angel City FC,Elizabeth Eddy,us USA,"DF,MF",34-039,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Angel City FC,Bre Norris,us USA,GK,22-146,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
